North Carolina,Transylvania County,29886
Kentucky,McLean County,9690
Michigan,Benzie County,17440
Kansas,Nemaha County,10118
West Virginia,Barbour County,15522
West Virginia,Braxton County,14554
Minnesota,Wabasha County,21831
Washington,Walla Walla County,57795
Kansas,Marion County,12239
Wyoming,Carbon County,15347
Ohio,Scioto County,76310
Illinois,Stark County,6076
Illinois,Fayette County,21015
Kentucky,Monroe County,11650
Colorado,La Plata County,49678
Ohio,Licking County,156414
North Dakota,Oliver County,1624
Montana,Beaverhead County,8887
Mississippi,Lafayette County,43025
Oklahoma,Canadian County,103588
Georgia,Newton County,94076
Texas,Howard County,32324
Texas,Nueces County,319703
Indiana,Dubois County,41207
North Carolina,Northampton County,20611
Minnesota,Mille Lacs County,26071
Pennsylvania,Susquehanna County,41116
Texas,Hopkins County,33864
Indiana,Scott County,23646
Virginia,Newport News city,192635
Montana,Valley County,6888
South Carolina,Laurens County,69697
Pennsylvania,Mifflin County,45961
Arkansas,Pike County,10763
Pennsylvania,Centre County,144306
Nebraska,Franklin County,3187
Texas,McLennan County,228369
Puerto Rico,San Sebastián Municipio,47584
Illinois,Boone County,52400
Missouri,Howard County,9859
Wisconsin,Kewaunee County,20398
Tennessee,Coffee County,51694
Pennsylvania,Berks County,401488
Texas,Lubbock County,262985
Ohio,Pickaway County,53864
Nebraska,Sheridan County,5403
Arkansas,St. Francis County,26769
Louisiana,Terrebonne Parish,108277
New Jersey,Morris County,485828
Michigan,Sanilac County,43291
Iowa,Henry County,20078
New Jersey,Union County,522050
North Carolina,Vance County,42987
Virginia,Poquoson city,11775
Louisiana,Natchitoches Parish,38976
Louisiana,Vermilion Parish,55612
Montana,Hill County,16434
Colorado,Montrose County,39303
Virginia,Scott County,22771
Missouri,Montgomery County,11884
Alabama,Elmore County,76714
Minnesota,Stearns County,146168
Texas,Somervell County,7730
Kansas,Mitchell County,6329
Colorado,Morgan County,27630
Texas,Caldwell County,36895
Arkansas,Arkansas County,19385
Colorado,El Paso County,586446
Indiana,Parke County,17094
Texas,Comal County,104960
North Carolina,Stokes County,45916
Texas,Hamilton County,8051
Michigan,Charlevoix County,26098
Indiana,Miami County,36508
Louisiana,Union Parish,22712
Washington,Lincoln County,10243
Texas,Wharton County,40919
North Carolina,Orange County,124503
Missouri,Randolph County,25528
Georgia,Columbia County,108015
Arkansas,Stone County,11920
Alabama,Winston County,24190
Tennessee,Lauderdale County,26568
Texas,Coryell County,72617
Pennsylvania,Erie County,279721
Pennsylvania,Bucks County,621241
Georgia,Barrow County,66458
Tennessee,Loudon County,45176
Texas,Wheeler County,4763
Georgia,Pike County,17012
Michigan,Clare County,30670
South Dakota,Dewey County,6007
Mississippi,Amite County,13293
Arkansas,Lafayette County,7715
Texas,Smith County,197631
Texas,Hartley County,5089
Kansas,Wyandotte County,153753
New Mexico,Santa Fe County,143501
West Virginia,Tyler County,8970
Texas,Collin County,729514
South Dakota,Pennington County,96903
California,Plumas County,20550
South Dakota,Union County,13947
Texas,Wilbarger County,13725
Georgia,Pickens County,30021
Texas,Tom Green County,106643
Virginia,Tazewell County,44307
New Jersey,Hunterdon County,129517
Tennessee,Blount County,119489
Virginia,Salem city,25139
Missouri,Butler County,41293
Arkansas,Phillips County,22002
North Carolina,Catawba County,155157
Tennessee,Unicoi County,17686
Kansas,Grant County,7409
Georgia,Calhoun County,6113
North Carolina,Bertie County,19187
Tennessee,Humphreys County,18151
South Carolina,Greenwood County,68631
Illinois,Mercer County,16440
New Jersey,Cape May County,97127
Louisiana,St. Mary Parish,51085
Kansas,Montgomery County,34282
Minnesota,Otter Tail County,56912
Alabama,Bullock County,10917
Louisiana,Evangeline Parish,35490
Georgia,McDuffie County,21624
Idaho,Madison County,37120
Tennessee,Jackson County,10896
Kentucky,Butler County,13337
California,San Mateo County,701886
Texas,Mason County,3890
Oregon,Douglas County,103385
Illinois,Hardin County,4470
Missouri,Hickory County,9022
Texas,Randall County,112802
Iowa,Warren County,44192
Texas,Martin County,4447
Tennessee,Hamilton County,330941
Illinois,Franklin County,39301
Wisconsin,Wood County,74023
West Virginia,Wetzel County,16507
Nebraska,Holt County,10258
North Carolina,Halifax County,55118
Arkansas,Chicot County,12279
Alaska,North Slope Borough,6716
Oklahoma,Wagoner County,66969
Minnesota,Traverse County,3684
Wisconsin,Waukesha County,378848
Texas,Pecos County,15901
Nebraska,Douglas County,497939
Georgia,Randolph County,7259
Mississippi,Winston County,19543
Rhode Island,Bristol County,50022
Georgia,Hall County,177685
Missouri,Worth County,2058
South Carolina,Dorchester County,122442
Idaho,Power County,7689
Nebraska,Kimball County,3644
Wyoming,Fremont County,37432
Indiana,Whitley County,32504
Georgia,Taylor County,8654
Virginia,Portsmouth city,100674
Texas,Newton County,13827
South Dakota,Grant County,7165
Nebraska,Keya Paha County,863
Texas,Knox County,3465
South Carolina,Spartanburg County,276544
North Carolina,Hertford County,23281
Arkansas,Clay County,16045
Kentucky,Harlan County,30999
Texas,Hemphill County,3363
Florida,Gulf County,15714
Texas,Rains County,11104
Georgia,Tattnall County,23310
Wyoming,Park County,27193
Idaho,Butte County,2769
New York,Orange County,376548
Florida,Flagler County,85623
Texas,Robertson County,15830
Texas,Briscoe County,1583
Mississippi,Leflore County,35033
Puerto Rico,Toa Baja Municipio,94862
Illinois,Carroll County,15878
North Carolina,Chatham County,61444
Montana,Golden Valley County,873
Iowa,Davis County,8549
Puerto Rico,Lajas Municipio,27826
Tennessee,Henry County,31567
Michigan,Ionia County,63685
Mississippi,Hinds County,248782
Arizona,Greenlee County,7723
Texas,Scurry County,15994
Michigan,Newaygo County,49114
Utah,Carbon County,19536
Idaho,Caribou County,6888
Texas,Panola County,23107
Pennsylvania,Cameron County,5334
Nebraska,Buffalo County,44877
Tennessee,Franklin County,41021
Colorado,Las Animas County,15814
Idaho,Jefferson County,22892
Michigan,Huron County,33155
Texas,Atascosa County,43524
Indiana,Fulton County,20251
Tennessee,Lake County,7404
Puerto Rico,Comerío Municipio,19378
Texas,Terrell County,810
Texas,Brazos County,171382
Kansas,Neosho County,16153
Nebraska,Lancaster County,274432
Maryland,Frederick County,224185
Ohio,Allen County,104946
Missouri,Lewis County,9951
North Dakota,Emmons County,3542
Wisconsin,Florence County,4721
Oklahoma,Haskell County,12154
Georgia,Gordon County,51760
Indiana,Hendricks County,133949
Michigan,Presque Isle County,13742
Alabama,Chilton County,42272
Michigan,Kent County,601813
Kansas,Washington County,5821
Nebraska,Cedar County,8582
Florida,Clay County,179850
North Carolina,Hyde County,5256
Texas,Karnes County,15060
Texas,Collingsworth County,2993
Ohio,Fulton County,42482
Indiana,Lake County,491203
West Virginia,Wood County,86557
Indiana,Vermillion County,16301
Arizona,Yavapai County,209365
South Carolina,Lee County,20074
California,Yuba County,70906
New Mexico,Los Alamos County,18431
Kentucky,Bath County,11597
Colorado,Lake County,8025
South Carolina,Pickens County,116092
Oklahoma,Jackson County,25831
Florida,Okaloosa County,180955
Alabama,Colbert County,54546
Tennessee,Campbell County,40646
Minnesota,Roseau County,16012
Oregon,Curry County,21553
Utah,Sevier County,19603
Virginia,James City County,60864
Missouri,Holt County,4937
Oklahoma,Rogers County,82890
Kentucky,Spencer County,16707
Florida,Alachua County,238990
California,Madera County,144794
Oklahoma,Okmulgee County,39230
Montana,Mineral County,3898
Kansas,Pawnee County,6394
Arkansas,Cross County,18801
Kansas,Ford County,32840
Louisiana,Iberville Parish,32677
Michigan,Barry County,58815
North Carolina,Swain County,13367
Kansas,Seward County,22648
Maryland,Baltimore city,639337
Virginia,Highland County,2399
Oregon,Baker County,16027
Minnesota,Marshall County,9452
Virginia,Wythe County,28517
Tennessee,Madison County,96346
Alaska,Nome Census Area,9339
Louisiana,Richland Parish,20415
Texas,Sherman County,2905
Minnesota,Cass County,28654
California,Sacramento County,1375605
South Dakota,Gregory County,4083
Tennessee,Pickett County,4803
Indiana,Martin County,10067
Georgia,Clarke County,113112
Illinois,Logan County,29942
Wisconsin,Price County,14564
Nebraska,Hall County,55669
Kentucky,Clay County,23792
Puerto Rico,Barceloneta Municipio,23029
Tennessee,Lincoln County,32764
New York,Yates County,24526
Puerto Rico,Gurabo Municipio,42927
Minnesota,Wadena County,13343
Texas,Jim Wells County,40876
Michigan,Roscommon County,25280
North Carolina,Union County,181852
Puerto Rico,San Juan Municipio,424652
Ohio,Ashland County,54622
Wisconsin,Clark County,33493
Colorado,Baca County,3847
Maryland,Worcester County,49081
California,San Bernardino County,1986635
Oregon,Coos County,63230
Ohio,Brown County,43823
Alabama,Coosa County,10777
Kentucky,Lewis County,13840
Maine,Waldo County,38319
Minnesota,Morrison County,32717
Minnesota,Stevens County,9635
North Dakota,Cavalier County,3905
Pennsylvania,Montour County,17776
North Carolina,Martin County,23699
Kentucky,Mason County,17174
Oregon,Yamhill County,95494
Ohio,Tuscarawas County,91243
Mississippi,Grenada County,23002
Kentucky,Floyd County,41965
Ohio,Madison County,41629
North Carolina,Madison County,20227
Illinois,Christian County,34543
Kansas,Morris County,5966
Washington,Benton County,161077
South Dakota,Corson County,4146
Texas,Cameron County,383171
Wisconsin,Walworth County,100069
Indiana,Kosciusko County,76096
Puerto Rico,Manatí Municipio,49393
Missouri,Monroe County,9141
Washington,Garfield County,2129
Georgia,Lincoln County,8038
Wisconsin,Dunn County,42416
Virginia,Rockbridge County,21311
Kentucky,Taylor County,24103
West Virginia,Marshall County,33205
Alabama,Conecuh County,13114
Iowa,Johnson County,125810
Texas,Nacogdoches County,62608
Minnesota,Aitkin County,15871
West Virginia,Putnam County,54881
Georgia,Stewart County,4638
Indiana,Vanderburgh County,174544
Ohio,Hamilton County,851867
Kentucky,Ohio County,23498
Missouri,Pettis County,40789
Colorado,Routt County,22356
Alabama,Franklin County,30847
South Carolina,Greenville County,430273
Connecticut,Hartford County,874409
Minnesota,Benton County,39460
Pennsylvania,Greene County,39509
Puerto Rico,Maricao Municipio,6321
California,San Francisco County,797271
North Carolina,Alleghany County,10905
Tennessee,Fayette County,36820
Mississippi,Tallahatchie County,13201
Oklahoma,Cherokee County,45241
Oklahoma,Marshall County,14760
Utah,Cache County,109347
Arkansas,Lincoln County,13753
Arkansas,Boone County,36341
Alabama,Pickens County,19528
Virginia,King and Queen County,6806
Florida,Dixie County,14800
North Dakota,Billings County,912
Mississippi,Rankin County,137817
Idaho,Lincoln County,4533
Ohio,Wyandot County,22499
Idaho,Bonneville County,96238
Minnesota,Rock County,9444
Kansas,Finney County,41002
Montana,Sheridan County,3568
Indiana,Pulaski County,13739
Arkansas,Fulton County,11700
West Virginia,Raleigh County,78686
New Jersey,Sussex County,151239
South Dakota,Jones County,1033
Iowa,Butler County,14581
North Carolina,Carteret County,63369
Wisconsin,Oconto County,37278
Kentucky,Montgomery County,25093
Kentucky,Green County,11513
Missouri,Daviess County,8061
Minnesota,Norman County,6629
Texas,Hardin County,51804
New York,Steuben County,96674
Alabama,Walker County,68880
Colorado,Summit County,26246
Michigan,Washtenaw County,346007
Kentucky,Anderson County,21122
Wyoming,Sublette County,7801
Tennessee,Trousdale County,7682
Iowa,Tama County,17659
Indiana,Wayne County,68151
Georgia,Marion County,7026
Texas,Bowie County,91841
Texas,Loving County,81
Missouri,Madison County,12226
South Dakota,Yankton County,21771
South Carolina,Union County,27800
Illinois,Hancock County,18720
Mississippi,Webster County,9834
Illinois,Jefferson County,40063
South Carolina,Sumter County,104441
Florida,Nassau County,67977
Montana,Phillips County,3959
Oregon,Grant County,6928
Illinois,Saline County,25906
Ohio,Preble County,41689
South Dakota,Moody County,6460
California,Mendocino County,86030
Indiana,Wabash County,33004
South Carolina,Chester County,32666
Mississippi,Lincoln County,34315
Idaho,Gem County,16355
Michigan,Cheboygan County,26711
West Virginia,Calhoun County,7209
Kentucky,Lawrence County,16338
